id,amount,description,card_type,date,time,bank,full_email,category,created_at
1,31.31,"MAXI #8634 LAVAL QC","CIBC-CC Credit",2024-05-29,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
2,114.95,"AMZN Mktp CA*DR5DV2143 WWW.AMAZON.CAON","CIBC-CC Credit",2024-05-29,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
3,8.04,"AMZN Mktp CA*R586V2VM3 WWW.AMAZON.CAON","CIBC-CC Credit",2024-05-29,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
4,634.62,"CANADIAN TIRE #231 VIMONT LAVAL QC","CIBC-CC Credit",2024-06-03,,cibc_credit,"No email content","Home Improvement","2025-02-21 15:40:15"
5,5.98,"AMZN Mktp CA*F96GA3YY3 WWW.AMAZON.CAON","CIBC-CC Credit",2024-06-07,,cibc_credit,"No email content","Home Improvement","2025-02-21 15:40:15"
6,17.43,"AMZN Mktp CA*3U57X94M3 WWW.AMAZON.CAON","CIBC-CC Credit",2024-06-07,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
7,19.04,"BOULANGERIE PATISSERIE Laval QC","CIBC-CC Credit",2024-06-10,,cibc_credit,"No email content",Food,"2025-02-21 15:40:15"
8,5.0,"FS AV ESP/VIR SOL/CHQ PR/VERS","CIBC-CC Credit",2024-06-11,,cibc_credit,"No email content",Miscellaneous,"2025-02-21 15:40:15"
9,74.58,"AMZN Mktp CA*IZ9UQ3M63 WWW.AMAZON.CAON","CIBC-CC Credit",2024-06-12,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
10,11.49,"Amazon.ca Prime Member amazon.ca/priBC","CIBC-CC Credit",2024-06-12,,cibc_credit,"No email content",Subscription,"2025-02-21 15:40:15"
11,320.0,"CENTRE DE SANTE DENTAIRE LAVAL QC","CIBC-CC Credit",2024-06-17,,cibc_credit,"No email content",Healthcare,"2025-02-21 15:40:15"
12,30.0,"PARC INDIGO - NO CMO010 MONTREAL QC","CIBC-CC Credit",2024-06-17,,cibc_credit,"No email content",Transport,"2025-02-21 15:40:15"
13,20.0,"SHELL C81580 LAVAL QC","CIBC-CC Credit",2024-06-19,,cibc_credit,"No email content",Transport,"2025-02-21 15:40:15"
14,34.77,"AMZN Mktp CA*RG7NC6W31 WWW.AMAZON.CAON","CIBC-CC Credit",2024-06-26,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
15,33.5,"AMZN Mktp CA*RC69J4ZA1 WWW.AMAZON.CAON","CIBC-CC Credit",2024-06-27,,cibc_credit,"No email content",Shopping,"2025-02-21 15:40:15"
16,4.59,"APPLE.COM/BILL TORONTO ON","CIBC-CC Credit",2024-07-02,,cibc_credit,"No email content",Entertainment,"2025-02-21 15:40:15"
17,29.13,"BOULANGERIE PATISSERIE Laval QC","CIBC-CC Credit",2024-07-02,,cibc_credit,"No email content",Food,"2025-02-21 15:40:15"
18,15.28,"MCDONALD'S #41226 LAVAL QC","CIBC-CC Credit",2024-07-04,,cibc_credit,"No email content","Fast Food","2025-02-21 15:40:15"
19,1.14,"APPLE.COM/BILL 866-712-7753 ON","CIBC-CC Credit",2024-07-05,,cibc_credit,"No email content",Groceries,"2025-02-21 15:40:15"
20,30.0,"PARC INDIGO - NO CMO010 MONTREAL QC","CIBC-CC Credit",2024-07-08,,cibc_credit,"No email content",Transport,"2025-02-21 15:40:15"
